age,job,marital,education,default,balance,housing,loan,day,month,duration
44,technician,married,tertiary,no,4580,yes,no,15,may,911
60,services,single,primary,no,313,yes,no,15,may,920
29,management,married,tertiary,no,10576,no,no,15,may,1224
41,retired,divorced,primary,no,-233,yes,no,15,may,1156
41,blue-collar,married,primary,no,2453,yes,no,15,may,1052
42,technician,single,secondary,no,1364,yes,no,15,may,1867
36,services,single,unknown,no,281,yes,no,16,may,515
39,technician,married,tertiary,no,94,yes,yes,16,may,813
31,self-employed,single,tertiary,no,144,yes,no,16,may,676
26,blue-collar,married,secondary,no,246,yes,no,16,may,1143
31,blue-collar,married,secondary,no,92,yes,no,16,may,688
29,admin.,single,secondary,no,163,yes,yes,16,may,803
37,services,divorced,secondary,no,49,yes,no,16,may,619
33,blue-collar,single,secondary,no,-416,yes,no,16,may,767
24,technician,single,secondary,no,409,yes,no,16,may,912
50,admin.,divorced,secondary,no,363,yes,no,16,may,1340
27,technician,single,tertiary,no,3706,yes,no,16,may,897
54,management,single,tertiary,no,4393,yes,no,16,may,1297
30,technician,single,secondary,no,863,yes,no,16,may,1193
34,blue-collar,married,primary,no,695,yes,yes,16,may,1064
37,management,single,secondary,no,792,yes,no,16,may,1187
41,admin.,single,secondary,no,1020,yes,no,19,may,882
47,blue-collar,married,secondary,no,863,yes,no,19,may,943
31,admin.,married,secondary,no,97,yes,no,19,may,607
31,blue-collar,married,secondary,no,754,yes,no,19,may,1022
43,services,divorced,secondary,no,1040,yes,no,19,may,552
37,management,divorced,tertiary,no,122,yes,no,19,may,1622
30,technician,single,tertiary,no,880,yes,yes,19,may,967
41,technician,married,secondary,no,501,yes,no,19,may,579
36,blue-collar,married,secondary,no,4438,yes,no,20,may,446
35,blue-collar,divorced,secondary,no,0,yes,no,20,may,1205
29,services,single,secondary,no,271,yes,no,20,may,1882
35,blue-collar,married,primary,no,102,yes,no,20,may,1334
31,blue-collar,married,secondary,no,2,yes,no,20,may,182
35,services,married,secondary,no,4170,yes,no,20,may,1777
34,technician,single,secondary,no,85,yes,no,20,may,1182
31,admin.,single,secondary,no,431,yes,yes,20,may,1045
44,technician,divorced,secondary,no,982,yes,no,20,may,650
36,blue-collar,married,primary,no,408,yes,yes,20,may,1063
35,blue-collar,married,unknown,no,4822,yes,no,20,may,843
41,blue-collar,married,primary,no,1250,yes,no,20,may,1392
31,blue-collar,single,primary,no,216,yes,no,21,may,565
34,blue-collar,married,secondary,no,1207,yes,no,21,may,905
32,technician,married,secondary,no,791,yes,no,21,may,783
36,management,married,tertiary,no,849,yes,yes,21,may,958
30,blue-collar,single,secondary,yes,239,yes,no,21,may,412
37,technician,single,secondary,no,1211,yes,no,21,may,795
36,blue-collar,married,primary,no,599,yes,no,21,may,649
31,management,single,tertiary,no,825,yes,no,21,may,506
27,technician,married,secondary,no,2183,yes,yes,21,may,857
34,retired,married,primary,no,4499,no,no,21,may,1681
30,technician,single,tertiary,no,1289,yes,no,21,may,1697
32,technician,single,tertiary,no,4665,yes,no,21,may,860
37,technician,single,secondary,no,3326,yes,no,21,may,799
32,blue-collar,married,secondary,no,783,yes,no,21,may,923
33,blue-collar,married,secondary,no,0,yes,no,21,may,521
35,blue-collar,married,primary,no,994,yes,no,23,may,1349
35,self-employed,divorced,tertiary,no,1354,yes,no,23,may,736
30,blue-collar,single,secondary,no,239,yes,no,23,may,785
45,blue-collar,divorced,primary,no,-311,yes,no,23,may,1030
45,admin.,married,secondary,no,149,yes,no,23,may,893
33,blue-collar,married,secondary,no,1464,yes,no,23,may,588
44,management,divorced,tertiary,no,5773,no,no,23,may,597
40,blue-collar,married,primary,no,278,yes,no,23,may,1015
31,blue-collar,married,secondary,no,2910,yes,no,23,may,1392
30,technician,married,tertiary,no,541,yes,no,26,may,414
44,technician,divorced,secondary,no,1262,yes,no,26,may,788
34,services,married,secondary,no,-538,yes,no,26,may,682
37,blue-collar,married,secondary,no,125,no,no,26,may,679
28,self-employed,single,tertiary,no,0,yes,no,26,may,1560
32,admin.,single,secondary,no,620,yes,no,26,may,1234
37,blue-collar,divorced,secondary,no,316,yes,no,26,may,642
34,management,married,tertiary,no,2287,yes,no,26,may,895
38,admin.,divorced,secondary,no,198,yes,no,26,may,431
28,admin.,single,secondary,no,460,yes,no,26,may,741
31,management,divorced,tertiary,no,1145,yes,no,26,may,1272
59,services,married,secondary,no,-22,yes,no,26,may,748
24,blue-collar,married,secondary,no,685,yes,no,26,may,896
26,services,single,secondary,no,901,yes,no,26,may,764
59,retired,single,secondary,no,351,yes,no,27,may,1063
30,entrepreneur,single,primary,no,0,yes,yes,27,may,1051
37,admin.,married,secondary,no,274,yes,no,27,may,731
30,admin.,single,secondary,no,-213,yes,yes,27,may,751
25,blue-collar,married,secondary,no,97,yes,no,27,may,709
44,services,divorced,secondary,no,51,yes,yes,27,may,3094
29,management,married,tertiary,no,314,no,no,28,may,938
26,management,single,tertiary,no,6840,yes,no,28,may,1560
26,technician,single,secondary,no,668,yes,no,28,may,576
27,services,single,secondary,no,54,yes,no,28,may,543
25,self-employed,single,secondary,no,1242,yes,no,28,may,615
28,management,married,secondary,no,292,yes,no,28,may,507
23,services,single,secondary,no,665,yes,no,28,may,1183
34,management,single,tertiary,no,1058,yes,no,28,may,864
28,student,single,secondary,no,949,yes,no,28,may,1730
51,entrepreneur,married,unknown,no,606,yes,no,28,may,560
35,blue-collar,married,secondary,no,0,yes,yes,29,may,543
35,admin.,married,secondary,no,404,yes,no,29,may,539
56,blue-collar,married,secondary,no,249,yes,no,29,may,791
45,unemployed,divorced,secondary,no,3354,yes,no,29,may,746
60,blue-collar,divorced,secondary,no,0,yes,no,29,may,1207
56,technician,married,secondary,no,589,yes,no,29,may,535
27,management,single,tertiary,no,12956,yes,no,29,may,789
30,admin.,married,secondary,no,873,yes,no,29,may,792
45,blue-collar,divorced,primary,no,594,yes,no,29,may,833
29,blue-collar,single,secondary,no,-20,yes,no,29,may,814
38,management,divorced,tertiary,no,4692,yes,no,29,may,1363
30,blue-collar,married,secondary,no,486,yes,no,29,may,1109
44,blue-collar,single,primary,no,1593,yes,no,29,may,828
36,management,single,tertiary,no,7606,yes,no,30,may,917
38,technician,married,secondary,no,226,yes,no,30,may,762
36,blue-collar,single,secondary,no,366,yes,yes,30,may,1133
37,management,divorced,secondary,no,16,yes,no,30,may,638
35,management,single,tertiary,no,565,yes,no,30,may,763
38,admin.,divorced,secondary,no,19,yes,no,30,may,604
40,services,married,primary,no,1082,yes,no,30,may,854
42,unemployed,divorced,secondary,no,1713,yes,no,30,may,855
46,management,divorced,tertiary,no,14481,yes,no,30,may,1269
35,technician,divorced,secondary,no,5724,yes,no,30,may,691
34,technician,divorced,secondary,no,1451,yes,no,30,may,1097
32,services,married,secondary,no,-34,yes,no,30,may,1236
50,unemployed,married,secondary,no,3674,yes,no,30,may,886
35,blue-collar,married,secondary,no,698,yes,yes,30,may,1343
36,technician,single,secondary,no,4136,yes,no,30,may,812
53,blue-collar,divorced,primary,no,2656,yes,no,30,may,1980
46,management,single,tertiary,no,2904,yes,no,30,may,984
26,management,single,tertiary,no,1004,yes,no,30,may,228
45,technician,single,secondary,no,410,yes,no,30,may,891
31,unemployed,divorced,primary,no,0,yes,no,30,may,745
29,management,single,tertiary,no,0,yes,no,30,may,539
53,entrepreneur,single,secondary,no,62,yes,no,30,may,1044
27,blue-collar,married,primary,no,416,yes,no,30,may,1193
39,management,married,tertiary,no,2763,yes,no,2,jun,526
36,services,married,secondary,no,2984,yes,no,2,jun,394
41,blue-collar,married,primary,no,143,yes,yes,2,jun,659
36,services,married,primary,no,0,yes,no,2,jun,1036
32,technician,married,secondary,no,696,yes,no,2,jun,815
35,services,married,secondary,no,152,yes,no,2,jun,563
36,management,single,tertiary,no,-78,yes,no,2,jun,1068
35,management,married,tertiary,no,867,yes,no,2,jun,230
30,blue-collar,single,secondary,no,953,yes,no,2,jun,747
42,blue-collar,married,secondary,no,443,yes,no,2,jun,671
42,technician,single,secondary,yes,-1129,yes,no,2,jun,555
32,blue-collar,married,primary,no,415,yes,no,2,jun,777
29,blue-collar,single,secondary,no,260,yes,no,2,jun,707
44,management,divorced,tertiary,yes,-411,yes,no,2,jun,432
32,technician,single,secondary,no,1279,yes,no,3,jun,1173
31,unemployed,married,secondary,no,86,yes,yes,3,jun,963
40,self-employed,married,secondary,yes,-754,yes,yes,3,jun,941
43,entrepreneur,married,secondary,no,0,no,no,3,jun,1025
27,management,single,secondary,no,178,yes,no,3,jun,732
37,services,single,secondary,no,278,yes,no,3,jun,1045
23,services,single,secondary,no,425,yes,no,3,jun,768
25,management,married,primary,no,168,yes,no,3,jun,801
26,blue-collar,single,secondary,yes,-36,yes,no,3,jun,482
47,blue-collar,divorced,primary,no,126,yes,no,3,jun,2456
35,admin.,married,secondary,no,-87,yes,no,3,jun,1363
32,technician,single,tertiary,no,6281,yes,no,3,jun,1336
45,management,divorced,secondary,no,644,yes,no,4,jun,633
30,admin.,divorced,secondary,no,377,yes,no,4,jun,524
29,services,single,secondary,no,-271,yes,no,4,jun,578
38,blue-collar,married,primary,no,5839,yes,no,4,jun,984
23,blue-collar,single,secondary,no,492,yes,no,4,jun,638
27,management,single,tertiary,no,99,yes,no,4,jun,767
27,management,single,tertiary,yes,-713,yes,no,4,jun,525
29,services,single,secondary,no,32,yes,no,4,jun,563
30,self-employed,married,tertiary,no,543,yes,yes,4,jun,1449
36,blue-collar,married,primary,no,403,yes,no,4,jun,920
35,admin.,divorced,secondary,no,437,yes,no,4,jun,908
36,blue-collar,married,secondary,no,1772,no,no,5,jun,208
59,retired,divorced,primary,no,-88,yes,no,5,jun,910
47,entrepreneur,married,secondary,no,0,no,no,5,jun,1446
58,entrepreneur,married,tertiary,no,853,no,no,5,jun,1149
37,management,single,tertiary,no,240,no,no,5,jun,1123
46,admin.,single,secondary,no,849,yes,no,5,jun,508
43,blue-collar,single,secondary,no,318,yes,no,5,jun,736
27,management,single,tertiary,no,703,yes,no,5,jun,590
38,services,divorced,secondary,no,61,no,no,5,jun,636
53,housemaid,married,primary,no,104,no,yes,5,jun,701
47,blue-collar,married,secondary,no,1996,no,no,5,jun,761
56,housemaid,divorced,primary,yes,1238,no,no,5,jun,1558
41,housemaid,married,secondary,no,879,no,no,5,jun,1053
29,self-employed,married,secondary,no,425,yes,no,5,jun,562
50,technician,married,secondary,no,416,yes,no,5,jun,494
45,blue-collar,divorced,primary,no,844,no,no,5,jun,1018
35,blue-collar,married,secondary,no,860,yes,no,5,jun,884
26,technician,single,secondary,no,639,yes,no,6,jun,709
26,admin.,married,secondary,no,710,yes,yes,6,jun,1276
37,blue-collar,married,unknown,no,1508,no,yes,6,jun,381
30,admin.,single,secondary,no,223,yes,no,6,jun,862
38,management,single,tertiary,no,619,yes,no,6,jun,460
37,services,divorced,secondary,no,319,yes,no,6,jun,467
53,technician,married,secondary,no,480,no,no,6,jun,648
29,blue-collar,single,primary,no,213,yes,no,6,jun,2653
35,management,single,tertiary,no,68,no,no,6,jun,1085
28,blue-collar,married,secondary,no,2788,yes,no,6,jun,369
55,blue-collar,married,unknown,no,7561,no,no,6,jun,685
49,management,divorced,secondary,no,-46,yes,no,9,jun,1055
50,services,married,secondary,no,1595,no,no,9,jun,882
43,management,single,tertiary,no,1046,no,no,9,jun,901
58,self-employed,divorced,tertiary,no,1382,no,no,9,jun,700
38,technician,married,primary,no,217,yes,no,9,jun,491
48,blue-collar,divorced,primary,no,183,no,no,9,jun,940
59,management,married,secondary,no,1321,no,no,9,jun,3881
58,blue-collar,married,secondary,no,25,no,no,9,jun,486
36,self-employed,single,tertiary,no,4844,no,no,9,jun,1137
42,entrepreneur,married,tertiary,no,5345,no,no,11,jun,878
41,admin.,single,secondary,no,812,no,yes,11,jun,583
42,admin.,married,secondary,no,105,no,no,11,jun,1159
39,management,married,tertiary,no,-190,no,yes,11,jun,893
57,housemaid,married,primary,no,625,no,yes,11,jun,867
52,retired,married,unknown,no,293,no,no,11,jun,706
59,retired,married,unknown,no,1033,no,no,11,jun,1199
56,blue-collar,married,secondary,no,1210,no,no,11,jun,935
49,management,married,tertiary,no,64,no,no,11,jun,586
35,blue-collar,divorced,unknown,no,164,no,no,11,jun,967
36,unemployed,married,secondary,no,1766,no,no,11,jun,595
40,admin.,single,tertiary,no,1248,no,no,11,jun,1290
55,blue-collar,married,secondary,no,0,no,no,12,jun,614
58,admin.,married,secondary,no,826,no,no,12,jun,885
39,self-employed,married,tertiary,no,2630,no,no,12,jun,651
47,housemaid,single,tertiary,no,3727,no,no,12,jun,993
40,management,married,secondary,no,406,yes,no,12,jun,577
35,blue-collar,married,tertiary,no,2999,no,no,12,jun,1141
48,blue-collar,married,secondary,no,1000,yes,no,12,jun,1268
48,management,divorced,tertiary,no,503,no,yes,12,jun,1243
24,blue-collar,single,secondary,yes,-203,yes,no,12,jun,465
49,blue-collar,married,primary,no,361,yes,no,16,jun,513
36,blue-collar,married,secondary,no,274,yes,no,16,jun,686
52,retired,divorced,tertiary,no,3687,yes,yes,16,jun,741
42,entrepreneur,single,unknown,no,323,no,no,16,jun,617
36,services,married,secondary,no,981,no,no,16,jun,1093
36,blue-collar,divorced,secondary,no,638,yes,no,16,jun,1395
48,unemployed,single,tertiary,no,3229,no,no,16,jun,1089
51,management,single,secondary,no,1610,yes,no,16,jun,1248
51,blue-collar,married,secondary,no,33,no,yes,16,jun,721
46,technician,married,secondary,no,536,yes,no,16,jun,750
37,management,married,tertiary,no,0,no,no,16,jun,637
36,entrepreneur,married,tertiary,no,3057,no,no,16,jun,2769
47,management,married,secondary,no,2892,no,no,17,jun,556
40,technician,divorced,tertiary,no,0,no,no,17,jun,522
38,student,single,tertiary,no,3316,no,no,17,jun,1345
40,management,married,secondary,no,106,no,no,17,jun,676
39,blue-collar,married,primary,no,2303,yes,no,17,jun,775
60,management,married,tertiary,no,3301,no,no,17,jun,2621
39,self-employed,single,tertiary,no,426,no,no,18,jun,1029
51,services,divorced,secondary,no,9,no,no,18,jun,371
27,admin.,married,secondary,no,-97,yes,no,18,jun,1528
41,management,single,tertiary,no,11008,no,no,18,jun,1540
42,blue-collar,single,primary,no,4930,no,no,18,jun,973
41,entrepreneur,married,secondary,no,707,no,no,18,jun,707
33,technician,married,secondary,no,4,yes,yes,18,jun,625
46,admin.,married,secondary,no,126,no,no,18,jun,1255
31,blue-collar,married,secondary,no,671,yes,no,18,jun,704
41,blue-collar,married,primary,no,219,no,yes,18,jun,1574
41,blue-collar,divorced,secondary,no,3622,no,no,19,jun,1135
55,retired,divorced,secondary,no,1580,no,yes,19,jun,1007
53,technician,married,secondary,no,1319,no,no,19,jun,1318
55,housemaid,married,primary,no,2152,no,no,19,jun,922
39,services,married,secondary,no,2843,yes,no,19,jun,585
40,entrepreneur,married,tertiary,yes,0,no,no,19,jun,952
59,retired,married,primary,no,1115,no,no,19,jun,834
42,blue-collar,single,secondary,no,625,no,no,19,jun,651
41,blue-collar,married,primary,no,246,no,no,19,jun,683
27,blue-collar,married,secondary,no,61,yes,no,19,jun,1012
25,blue-collar,single,secondary,no,-191,yes,no,19,jun,958
43,unemployed,married,primary,no,519,no,no,20,jun,973
44,services,married,secondary,no,522,no,yes,20,jun,911
26,blue-collar,single,secondary,no,-46,yes,no,20,jun,382
52,retired,married,tertiary,no,2269,no,no,20,jun,1210
54,services,married,unknown,no,386,no,yes,20,jun,838
56,management,married,tertiary,no,0,no,yes,20,jun,422
57,management,married,tertiary,no,9103,no,yes,20,jun,1098
29,blue-collar,single,secondary,no,908,yes,no,20,jun,1663
47,technician,married,tertiary,no,1694,no,yes,20,jun,560
57,management,married,tertiary,no,-92,yes,yes,20,jun,1617
40,blue-collar,married,secondary,no,188,yes,yes,20,jun,570
46,services,divorced,secondary,no,0,no,no,20,jun,1023
43,blue-collar,single,secondary,no,740,yes,no,20,jun,585
45,management,married,tertiary,no,655,no,no,20,jun,693
24,management,married,secondary,no,867,yes,no,20,jun,546
40,blue-collar,married,secondary,no,1009,yes,yes,20,jun,1036
38,services,divorced,unknown,no,6360,no,no,20,jun,1409
36,unemployed,married,tertiary,no,4145,no,no,20,jun,988
27,blue-collar,single,secondary,yes,-27,no,no,23,jun,498
26,admin.,single,primary,no,-122,yes,no,23,jun,670
43,management,married,tertiary,no,149,yes,no,23,jun,662
25,blue-collar,single,primary,no,52,yes,no,24,jun,528
27,blue-collar,married,tertiary,no,335,yes,no,26,jun,519
30,technician,married,tertiary,no,526,yes,yes,26,jun,677
28,admin.,single,secondary,no,-7,no,yes,26,jun,3183
27,blue-collar,married,primary,no,-413,no,yes,27,jun,422
32,admin.,divorced,secondary,no,-241,no,yes,27,jun,856
41,blue-collar,single,secondary,no,75,yes,no,1,jul,479
37,technician,single,tertiary,no,0,no,no,1,jul,1135
27,technician,single,secondary,no,158,no,no,1,jul,650
29,services,single,secondary,no,84,no,yes,3,jul,587
33,services,married,secondary,no,114,no,yes,3,jul,676
36,technician,married,primary,no,0,no,no,4,jul,584
28,blue-collar,single,secondary,no,-127,yes,no,4,jul,1044
55,blue-collar,married,secondary,no,49,yes,no,7,jul,494
51,technician,married,secondary,no,216,no,no,7,jul,615
39,technician,single,secondary,no,506,yes,no,7,jul,718
42,blue-collar,divorced,primary,no,213,yes,no,7,jul,434
33,services,single,secondary,no,170,no,no,7,jul,782
36,entrepreneur,divorced,tertiary,no,776,no,yes,7,jul,722
45,technician,married,secondary,no,879,no,no,7,jul,621
37,self-employed,married,secondary,no,1633,no,no,7,jul,629
46,unemployed,married,secondary,no,926,no,no,7,jul,385
32,self-employed,single,tertiary,no,2559,no,no,7,jul,889
28,technician,single,secondary,no,909,no,yes,7,jul,532
45,admin.,divorced,secondary,no,-176,no,yes,7,jul,574
41,blue-collar,single,secondary,yes,1085,yes,yes,7,jul,599
59,blue-collar,divorced,primary,no,1265,no,yes,7,jul,849
47,technician,single,secondary,no,-239,yes,yes,7,jul,973
31,blue-collar,single,secondary,no,726,no,no,7,jul,719
31,management,single,tertiary,no,296,no,yes,8,jul,509
33,entrepreneur,married,secondary,no,-627,yes,yes,8,jul,740
52,entrepreneur,married,tertiary,yes,-468,no,no,8,jul,534
26,self-employed,single,secondary,no,551,no,no,8,jul,531
25,technician,single,secondary,no,0,no,yes,8,jul,634
25,blue-collar,married,secondary,no,101,no,yes,8,jul,460
28,blue-collar,single,secondary,no,517,no,yes,8,jul,681
33,entrepreneur,divorced,tertiary,no,37,no,yes,8,jul,1082
45,management,divorced,tertiary,no,854,no,yes,8,jul,730
36,services,married,secondary,no,30,no,yes,8,jul,716
26,blue-collar,single,secondary,yes,81,no,yes,8,jul,803
38,technician,married,secondary,no,0,no,no,8,jul,635
56,blue-collar,single,secondary,no,663,no,yes,8,jul,819
26,admin.,single,secondary,no,102,no,yes,8,jul,658
26,technician,married,secondary,no,370,no,yes,8,jul,1061
25,blue-collar,single,secondary,no,189,no,yes,8,jul,687
26,unemployed,single,secondary,no,111,no,no,9,jul,537
40,blue-collar,married,primary,no,665,yes,no,9,jul,781
37,admin.,married,primary,no,214,yes,no,9,jul,645
43,blue-collar,single,primary,no,0,no,no,9,jul,1242
41,services,divorced,tertiary,no,1583,yes,no,9,jul,662
49,blue-collar,married,secondary,no,0,no,yes,9,jul,625
29,admin.,divorced,tertiary,yes,0,no,yes,9,jul,426
39,services,divorced,secondary,no,687,yes,no,9,jul,869
38,management,married,tertiary,yes,327,yes,yes,9,jul,556
26,technician,married,secondary,no,-119,no,yes,9,jul,359
32,management,married,tertiary,no,794,yes,yes,9,jul,1014
33,blue-collar,married,primary,no,-191,yes,yes,9,jul,1290
31,management,single,tertiary,no,409,no,yes,9,jul,564
49,blue-collar,married,primary,no,3,no,yes,9,jul,1439
27,unemployed,single,primary,no,9,no,yes,9,jul,919
30,blue-collar,single,secondary,no,155,yes,yes,9,jul,1426
35,blue-collar,married,secondary,no,1330,no,no,10,jul,901
26,blue-collar,single,secondary,no,-29,yes,no,10,jul,998
45,entrepreneur,married,unknown,no,3133,yes,yes,10,jul,804
34,admin.,married,secondary,no,-33,yes,yes,10,jul,961
28,admin.,single,secondary,no,-170,no,yes,10,jul,720
25,blue-collar,single,secondary,no,1243,no,yes,10,jul,1341
30,blue-collar,single,secondary,no,1598,yes,no,10,jul,634
30,services,married,secondary,no,5,no,yes,10,jul,829
47,services,married,secondary,no,367,yes,no,10,jul,476
57,admin.,divorced,secondary,no,658,no,no,10,jul,724
38,management,married,tertiary,no,1722,yes,no,10,jul,500
54,technician,married,secondary,no,-315,no,yes,10,jul,2029
25,blue-collar,single,primary,no,2483,no,no,10,jul,1499
30,blue-collar,married,secondary,no,0,yes,yes,10,jul,1399
26,management,single,tertiary,no,45,no,no,10,jul,1187
31,student,married,primary,no,46,yes,no,10,jul,487
29,blue-collar,single,secondary,no,482,no,yes,10,jul,1097
49,blue-collar,married,secondary,no,3728,yes,no,11,jul,1060
60,retired,divorced,secondary,no,1099,no,no,11,jul,764
60,management,married,tertiary,no,2222,yes,no,11,jul,1120
29,management,single,tertiary,no,983,yes,no,11,jul,963
55,management,divorced,secondary,no,204,yes,no,11,jul,1973
44,admin.,married,secondary,no,1074,yes,no,11,jul,911
47,technician,married,secondary,no,3466,yes,no,11,jul,853
35,admin.,married,secondary,no,-203,yes,no,11,jul,1649
35,entrepreneur,married,secondary,no,2436,no,yes,14,jul,1397
38,technician,married,secondary,no,976,yes,no,14,jul,766
34,entrepreneur,married,tertiary,no,146,yes,no,14,jul,788
50,technician,married,secondary,no,156,no,yes,14,jul,1130
43,admin.,married,tertiary,no,189,yes,no,14,jul,1062
44,admin.,divorced,secondary,no,163,yes,no,14,jul,1669
51,services,divorced,secondary,no,242,no,yes,14,jul,1336
31,technician,married,secondary,no,1173,yes,no,14,jul,444
39,technician,married,tertiary,no,0,yes,no,14,jul,894
59,management,married,tertiary,no,296,no,yes,15,jul,805
25,services,single,secondary,no,333,no,yes,15,jul,1056
58,management,married,tertiary,no,3864,yes,no,15,jul,815
30,entrepreneur,married,primary,no,2686,yes,no,15,jul,808
34,blue-collar,single,primary,no,-109,yes,no,15,jul,860
51,services,divorced,secondary,no,65,no,yes,15,jul,881
60,retired,married,secondary,no,597,no,no,15,jul,981
51,entrepreneur,married,secondary,no,-799,no,yes,15,jul,1001
37,management,divorced,tertiary,no,1775,no,no,15,jul,514
30,blue-collar,single,primary,no,0,no,no,15,jul,716
46,entrepreneur,divorced,secondary,no,-563,no,yes,15,jul,769
29,student,single,tertiary,no,5,no,no,15,jul,889
27,entrepreneur,married,tertiary,no,139,no,no,15,jul,448
28,management,single,tertiary,no,0,yes,no,16,jul,767
34,blue-collar,single,secondary,no,855,yes,no,16,jul,578
29,blue-collar,single,unknown,no,694,yes,yes,16,jul,1806
27,management,single,tertiary,no,151,yes,no,16,jul,496
26,technician,single,secondary,no,354,no,no,16,jul,586
36,management,married,tertiary,no,673,yes,no,16,jul,689
44,blue-collar,married,primary,no,1265,yes,no,16,jul,555
39,blue-collar,married,tertiary,no,597,no,no,16,jul,686
30,technician,married,secondary,no,-393,yes,yes,16,jul,435
31,unemployed,divorced,tertiary,no,256,yes,no,16,jul,873
56,blue-collar,married,primary,no,0,yes,no,16,jul,1222
29,blue-collar,married,secondary,no,2870,yes,no,16,jul,988
43,blue-collar,married,secondary,no,184,no,yes,16,jul,1019
32,blue-collar,married,secondary,no,1905,yes,no,16,jul,709
30,admin.,single,secondary,no,-36,no,no,16,jul,561
40,blue-collar,married,secondary,no,-839,yes,yes,16,jul,1018
42,services,married,secondary,no,3465,yes,yes,16,jul,1039
27,student,married,secondary,no,119,yes,no,16,jul,781
35,management,married,tertiary,no,36,no,yes,16,jul,1656
35,housemaid,married,primary,no,113,yes,no,17,jul,923
32,blue-collar,single,secondary,no,118,yes,no,17,jul,1275
